"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 14:32:30,4.84 Gb/s,4.16 Gb/s,4.24 Gb/s,3.54 Gb/s
2025-05-02 14:33:00,4.88 Gb/s,4.35 Gb/s,4.14 Gb/s,3.60 Gb/s
2025-05-02 14:33:30,4.75 Gb/s,4.19 Gb/s,3.98 Gb/s,3.49 Gb/s
2025-05-02 14:34:00,4.66 Gb/s,4.14 Gb/s,3.74 Gb/s,3.33 Gb/s
2025-05-02 14:34:30,4.52 Gb/s,4.04 Gb/s,3.51 Gb/s,3.54 Gb/s
2025-05-02 14:35:00,4.50 Gb/s,3.97 Gb/s,3.66 Gb/s,3.43 Gb/s
2025-05-02 14:35:30,4.58 Gb/s,4.11 Gb/s,4.02 Gb/s,3.76 Gb/s
2025-05-02 14:36:00,4.73 Gb/s,4.29 Gb/s,4.15 Gb/s,3.61 Gb/s
2025-05-02 14:36:30,4.65 Gb/s,4.27 Gb/s,4.26 Gb/s,3.48 Gb/s
2025-05-02 14:37:00,4.59 Gb/s,4.43 Gb/s,4.00 Gb/s,3.45 Gb/s
2025-05-02 14:37:30,4.65 Gb/s,4.25 Gb/s,3.91 Gb/s,3.39 Gb/s
2025-05-02 14:38:00,4.67 Gb/s,4.40 Gb/s,4.03 Gb/s,3.40 Gb/s
2025-05-02 14:38:30,4.57 Gb/s,4.40 Gb/s,4.03 Gb/s,3.49 Gb/s
2025-05-02 14:39:00,4.49 Gb/s,4.43 Gb/s,4.07 Gb/s,3.30 Gb/s
2025-05-02 14:39:30,4.29 Gb/s,4.19 Gb/s,3.96 Gb/s,3.37 Gb/s
2025-05-02 14:40:00,4.34 Gb/s,4.34 Gb/s,4.01 Gb/s,3.33 Gb/s
2025-05-02 14:40:30,4.61 Gb/s,4.21 Gb/s,3.87 Gb/s,3.44 Gb/s
2025-05-02 14:41:00,4.72 Gb/s,4.35 Gb/s,4.14 Gb/s,3.67 Gb/s
2025-05-02 14:41:30,5.17 Gb/s,4.53 Gb/s,4.15 Gb/s,3.62 Gb/s
2025-05-02 14:42:00,4.98 Gb/s,4.33 Gb/s,4.16 Gb/s,3.60 Gb/s
2025-05-02 14:42:30,4.85 Gb/s,4.40 Gb/s,4.18 Gb/s,3.78 Gb/s
2025-05-02 14:43:00,4.97 Gb/s,4.35 Gb/s,4.14 Gb/s,3.49 Gb/s
2025-05-02 14:43:30,4.88 Gb/s,4.25 Gb/s,4.12 Gb/s,3.54 Gb/s
2025-05-02 14:44:00,4.96 Gb/s,4.44 Gb/s,4.27 Gb/s,3.45 Gb/s
2025-05-02 14:44:30,4.87 Gb/s,4.36 Gb/s,4.20 Gb/s,3.41 Gb/s
2025-05-02 14:45:00,4.53 Gb/s,4.27 Gb/s,4.41 Gb/s,3.41 Gb/s
2025-05-02 14:45:30,4.34 Gb/s,4.06 Gb/s,4.29 Gb/s,3.26 Gb/s
2025-05-02 14:46:00,3.91 Gb/s,3.99 Gb/s,4.02 Gb/s,2.99 Gb/s
2025-05-02 14:46:30,3.91 Gb/s,3.92 Gb/s,3.99 Gb/s,2.83 Gb/s
2025-05-02 14:47:00,3.95 Gb/s,4.25 Gb/s,3.90 Gb/s,2.65 Gb/s
2025-05-02 14:47:30,4.19 Gb/s,4.28 Gb/s,3.93 Gb/s,2.75 Gb/s
2025-05-02 14:48:00,4.38 Gb/s,4.58 Gb/s,3.93 Gb/s,3.02 Gb/s
2025-05-02 14:48:30,4.56 Gb/s,4.52 Gb/s,3.91 Gb/s,3.17 Gb/s
2025-05-02 14:49:00,4.72 Gb/s,4.23 Gb/s,4.03 Gb/s,3.19 Gb/s
2025-05-02 14:49:30,4.48 Gb/s,4.30 Gb/s,3.90 Gb/s,3.19 Gb/s
2025-05-02 14:50:00,4.60 Gb/s,4.23 Gb/s,3.95 Gb/s,3.08 Gb/s
