"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:40:00,451 Mb/s,376 Mb/s,592 Mb/s,926 Mb/s,426 Mb/s,488 Mb/s
2025-05-07 22:40:30,416 Mb/s,398 Mb/s,556 Mb/s,852 Mb/s,417 Mb/s,453 Mb/s
2025-05-07 22:41:00,437 Mb/s,499 Mb/s,522 Mb/s,800 Mb/s,313 Mb/s,497 Mb/s
2025-05-07 22:41:30,361 Mb/s,435 Mb/s,417 Mb/s,756 Mb/s,209 Mb/s,487 Mb/s
2025-05-07 22:42:00,278 Mb/s,361 Mb/s,278 Mb/s,889 Mb/s,35.5 Mb/s,535 Mb/s
2025-05-07 22:42:30,276 Mb/s,348 Mb/s,243 Mb/s,1.01 Gb/s,35.6 Mb/s,661 Mb/s
2025-05-07 22:43:00,181 Mb/s,288 Mb/s,137 Mb/s,869 Mb/s,70.3 Mb/s,651 Mb/s
2025-05-07 22:43:30,143 Mb/s,313 Mb/s,174 Mb/s,870 Mb/s,105 Mb/s,592 Mb/s
2025-05-07 22:44:00,208 Mb/s,313 Mb/s,487 Mb/s,720 Mb/s,155 Mb/s,453 Mb/s
2025-05-07 22:44:30,312 Mb/s,382 Mb/s,663 Mb/s,659 Mb/s,286 Mb/s,523 Mb/s
2025-05-07 22:45:00,475 Mb/s,462 Mb/s,1.01 Gb/s,625 Mb/s,419 Mb/s,499 Mb/s
2025-05-07 22:45:30,485 Mb/s,424 Mb/s,1.08 Gb/s,614 Mb/s,418 Mb/s,523 Mb/s
2025-05-07 22:46:00,487 Mb/s,376 Mb/s,938 Mb/s,637 Mb/s,406 Mb/s,384 Mb/s
2025-05-07 22:46:30,417 Mb/s,382 Mb/s,896 Mb/s,681 Mb/s,274 Mb/s,428 Mb/s
2025-05-07 22:47:00,347 Mb/s,351 Mb/s,738 Mb/s,682 Mb/s,209 Mb/s,349 Mb/s
2025-05-07 22:47:30,348 Mb/s,360 Mb/s,940 Mb/s,716 Mb/s,210 Mb/s,383 Mb/s
2025-05-07 22:48:00,346 Mb/s,445 Mb/s,976 Mb/s,869 Mb/s,278 Mb/s,551 Mb/s
2025-05-07 22:48:30,313 Mb/s,528 Mb/s,965 Mb/s,919 Mb/s,311 Mb/s,556 Mb/s
2025-05-07 22:49:00,432 Mb/s,684 Mb/s,1.13 Gb/s,1.01 Gb/s,380 Mb/s,628 Mb/s
2025-05-07 22:49:30,695 Mb/s,820 Mb/s,1.42 Gb/s,973 Mb/s,414 Mb/s,671 Mb/s
2025-05-07 22:50:00,834 Mb/s,881 Mb/s,1.67 Gb/s,824 Mb/s,318 Mb/s,618 Mb/s
2025-05-07 22:50:30,901 Mb/s,894 Mb/s,1.79 Gb/s,892 Mb/s,313 Mb/s,592 Mb/s
