"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 22:37:00,1.74 Gb/s,1.71 Gb/s,3.61 Gb/s,2.81 Gb/s,1.43 Gb/s,3.07 Gb/s
2025-05-07 22:37:30,1.90 Gb/s,2.61 Gb/s,3.02 Gb/s,1.89 Gb/s,1.49 Gb/s,2.75 Gb/s
2025-05-07 22:38:00,1.55 Gb/s,3.96 Gb/s,2.52 Gb/s,1.54 Gb/s,1.37 Gb/s,2.80 Gb/s
2025-05-07 22:38:30,1.91 Gb/s,4.97 Gb/s,1.66 Gb/s,1.61 Gb/s,1.16 Gb/s,2.77 Gb/s
2025-05-07 22:39:00,2.62 Gb/s,5.48 Gb/s,1.56 Gb/s,2.32 Gb/s,1.51 Gb/s,2.21 Gb/s
2025-05-07 22:39:30,2.66 Gb/s,4.98 Gb/s,2.35 Gb/s,3.29 Gb/s,2.13 Gb/s,2.31 Gb/s
2025-05-07 22:40:00,3.09 Gb/s,4.80 Gb/s,3.00 Gb/s,3.90 Gb/s,2.65 Gb/s,3.05 Gb/s
2025-05-07 22:40:30,3.21 Gb/s,4.29 Gb/s,3.57 Gb/s,4.07 Gb/s,3.05 Gb/s,3.70 Gb/s
2025-05-07 22:41:00,3.41 Gb/s,4.53 Gb/s,4.25 Gb/s,3.96 Gb/s,3.06 Gb/s,3.92 Gb/s
2025-05-07 22:41:30,4.20 Gb/s,5.02 Gb/s,3.73 Gb/s,3.89 Gb/s,2.87 Gb/s,3.99 Gb/s
2025-05-07 22:42:00,4.30 Gb/s,5.07 Gb/s,3.55 Gb/s,3.32 Gb/s,2.98 Gb/s,3.58 Gb/s
2025-05-07 22:42:30,4.25 Gb/s,5.03 Gb/s,4.01 Gb/s,2.96 Gb/s,3.38 Gb/s,3.33 Gb/s
2025-05-07 22:43:00,4.01 Gb/s,4.95 Gb/s,4.18 Gb/s,3.51 Gb/s,4.06 Gb/s,3.59 Gb/s
