"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 16:10:30,417 Mb/s,385 Mb/s,291 Mb/s,345 Mb/s
2025-05-02 16:11:00,491 Mb/s,392 Mb/s,313 Mb/s,362 Mb/s
2025-05-02 16:11:30,416 Mb/s,442 Mb/s,346 Mb/s,308 Mb/s
2025-05-02 16:12:00,491 Mb/s,423 Mb/s,332 Mb/s,300 Mb/s
2025-05-02 16:12:30,452 Mb/s,488 Mb/s,388 Mb/s,279 Mb/s
2025-05-02 16:13:00,452 Mb/s,429 Mb/s,350 Mb/s,282 Mb/s
2025-05-02 16:13:30,481 Mb/s,442 Mb/s,328 Mb/s,313 Mb/s
2025-05-02 16:14:00,447 Mb/s,440 Mb/s,387 Mb/s,323 Mb/s
2025-05-02 16:14:30,505 Mb/s,374 Mb/s,313 Mb/s,314 Mb/s
2025-05-02 16:15:00,577 Mb/s,317 Mb/s,359 Mb/s,328 Mb/s
2025-05-02 16:15:30,495 Mb/s,400 Mb/s,313 Mb/s,395 Mb/s
2025-05-02 16:16:00,565 Mb/s,370 Mb/s,334 Mb/s,313 Mb/s
2025-05-02 16:16:30,445 Mb/s,417 Mb/s,317 Mb/s,357 Mb/s
2025-05-02 16:17:00,485 Mb/s,436 Mb/s,312 Mb/s,314 Mb/s
2025-05-02 16:17:30,466 Mb/s,384 Mb/s,306 Mb/s,319 Mb/s
2025-05-02 16:18:00,418 Mb/s,449 Mb/s,348 Mb/s,351 Mb/s
2025-05-02 16:18:30,466 Mb/s,418 Mb/s,341 Mb/s,346 Mb/s
2025-05-02 16:19:00,417 Mb/s,398 Mb/s,358 Mb/s,338 Mb/s
2025-05-02 16:19:30,328 Mb/s,379 Mb/s,349 Mb/s,346 Mb/s
2025-05-02 16:20:00,452 Mb/s,314 Mb/s,356 Mb/s,347 Mb/s
2025-05-02 16:20:30,452 Mb/s,451 Mb/s,385 Mb/s,314 Mb/s
2025-05-02 16:21:00,499 Mb/s,388 Mb/s,390 Mb/s,319 Mb/s
2025-05-02 16:21:30,479 Mb/s,487 Mb/s,411 Mb/s,313 Mb/s
2025-05-02 16:22:00,454 Mb/s,447 Mb/s,329 Mb/s,317 Mb/s
2025-05-02 16:22:30,477 Mb/s,453 Mb/s,325 Mb/s,380 Mb/s
2025-05-02 16:23:00,438 Mb/s,467 Mb/s,345 Mb/s,338 Mb/s
2025-05-02 16:23:30,454 Mb/s,397 Mb/s,348 Mb/s,374 Mb/s
2025-05-02 16:24:00,519 Mb/s,403 Mb/s,362 Mb/s,319 Mb/s
2025-05-02 16:24:30,452 Mb/s,447 Mb/s,382 Mb/s,338 Mb/s
2025-05-02 16:25:00,500 Mb/s,485 Mb/s,360 Mb/s,313 Mb/s
