"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 19:17:30,140 Mb/s,449 Mb/s,983 kb/s,278 Mb/s
2025-05-02 19:18:00,166 Mb/s,366 Mb/s,1.01 Mb/s,360 Mb/s
2025-05-02 19:18:30,140 Mb/s,389 Mb/s,969 kb/s,278 Mb/s
2025-05-02 19:19:00,155 Mb/s,466 Mb/s,988 kb/s,278 Mb/s
2025-05-02 19:19:30,161 Mb/s,371 Mb/s,967 kb/s,321 Mb/s
2025-05-02 19:20:00,140 Mb/s,404 Mb/s,979 kb/s,278 Mb/s
2025-05-02 19:20:30,195 Mb/s,403 Mb/s,996 kb/s,354 Mb/s
2025-05-02 19:21:00,140 Mb/s,411 Mb/s,969 kb/s,278 Mb/s
2025-05-02 19:21:30,145 Mb/s,468 Mb/s,1.01 Mb/s,292 Mb/s
2025-05-02 19:22:00,166 Mb/s,369 Mb/s,1.02 Mb/s,305 Mb/s
2025-05-02 19:22:30,140 Mb/s,405 Mb/s,1.00 Mb/s,278 Mb/s
2025-05-02 19:23:00,183 Mb/s,391 Mb/s,1.02 Mb/s,333 Mb/s
2025-05-02 19:23:30,143 Mb/s,396 Mb/s,1.01 Mb/s,278 Mb/s
2025-05-02 19:24:00,140 Mb/s,414 Mb/s,1.04 Mb/s,302 Mb/s
2025-05-02 19:24:30,168 Mb/s,346 Mb/s,1.01 Mb/s,281 Mb/s
2025-05-02 19:25:00,141 Mb/s,336 Mb/s,1.02 Mb/s,278 Mb/s
2025-05-02 19:25:30,149 Mb/s,375 Mb/s,1.00 Mb/s,275 Mb/s
2025-05-02 19:26:00,122 Mb/s,340 Mb/s,1.02 Mb/s,278 Mb/s
2025-05-02 19:26:30,71.1 Mb/s,384 Mb/s,1.05 Mb/s,267 Mb/s
2025-05-02 19:27:00,104 Mb/s,418 Mb/s,995 kb/s,278 Mb/s
2025-05-02 19:27:30,71.0 Mb/s,348 Mb/s,1.04 Mb/s,335 Mb/s
2025-05-02 19:28:00,36.3 Mb/s,312 Mb/s,1.00 Mb/s,278 Mb/s
2025-05-02 19:28:30,13.7 Mb/s,287 Mb/s,1.05 Mb/s,278 Mb/s
2025-05-02 19:29:00,1.31 Mb/s,240 Mb/s,996 kb/s,352 Mb/s
