"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:56:30,557 Mb/s,814 Mb/s,354 Mb/s,41.4 kb/s,74.4 kb/s,293 kb/s
2025-05-07 21:57:00,616 Mb/s,905 Mb/s,428 Mb/s,41.3 kb/s,72.5 kb/s,294 kb/s
2025-05-07 21:57:30,546 Mb/s,769 Mb/s,485 Mb/s,42.2 kb/s,75.1 kb/s,296 kb/s
2025-05-07 21:58:00,337 Mb/s,418 Mb/s,280 Mb/s,42.7 kb/s,78.1 kb/s,298 kb/s
2025-05-07 21:58:30,278 Mb/s,279 Mb/s,141 Mb/s,42.9 kb/s,77.1 kb/s,299 kb/s
2025-05-07 21:59:00,226 Mb/s,209 Mb/s,1.59 Mb/s,42.6 kb/s,76.7 kb/s,301 kb/s
2025-05-07 21:59:30,209 Mb/s,209 Mb/s,1.44 Mb/s,42.1 kb/s,76.7 kb/s,301 kb/s
2025-05-07 22:00:00,209 Mb/s,283 Mb/s,1.21 Mb/s,41.3 kb/s,73.3 kb/s,300 kb/s
2025-05-07 22:00:30,209 Mb/s,487 Mb/s,140 Mb/s,40.7 kb/s,71.6 kb/s,299 kb/s
2025-05-07 22:01:00,209 Mb/s,480 Mb/s,175 Mb/s,40.4 kb/s,72.5 kb/s,299 kb/s
2025-05-07 22:01:30,208 Mb/s,602 Mb/s,314 Mb/s,40.2 kb/s,70.7 kb/s,299 kb/s
2025-05-07 22:02:00,209 Mb/s,567 Mb/s,348 Mb/s,40.3 kb/s,82.5 kb/s,353 kb/s
2025-05-07 22:02:30,278 Mb/s,440 Mb/s,209 Mb/s,40.3 kb/s,90.2 kb/s,383 kb/s
2025-05-07 22:03:00,209 Mb/s,517 Mb/s,277 Mb/s,40.3 kb/s,94.1 kb/s,403 kb/s
2025-05-07 22:03:30,139 Mb/s,309 Mb/s,140 Mb/s,40.3 kb/s,101 kb/s,414 kb/s
2025-05-07 22:04:00,69.8 Mb/s,285 Mb/s,174 Mb/s,40.7 kb/s,92.5 kb/s,376 kb/s
2025-05-07 22:04:30,193 kb/s,244 Mb/s,175 Mb/s,41.1 kb/s,92.2 kb/s,379 kb/s
2025-05-07 22:05:00,80.6 kb/s,154 Mb/s,109 Mb/s,41.4 kb/s,94.5 kb/s,386 kb/s
2025-05-07 22:05:30,81.2 kb/s,174 Mb/s,140 Mb/s,41.6 kb/s,95.1 kb/s,386 kb/s
2025-05-07 22:06:00,84.0 kb/s,190 Mb/s,140 Mb/s,41.4 kb/s,94.7 kb/s,389 kb/s
2025-05-07 22:06:30,88.4 kb/s,190 Mb/s,141 Mb/s,41.4 kb/s,95.6 kb/s,391 kb/s
2025-05-07 22:07:00,90.7 kb/s,155 Mb/s,133 Mb/s,41.0 kb/s,94.6 kb/s,392 kb/s
