"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:57:30,383 Mb/s,824 Mb/s,418 Mb/s,124 kb/s,1.04 Mb/s,243 kb/s
2025-05-07 21:58:00,209 Mb/s,506 Mb/s,278 Mb/s,146 kb/s,1.08 Mb/s,264 kb/s
2025-05-07 21:58:30,222 Mb/s,338 Mb/s,139 Mb/s,153 kb/s,1.09 Mb/s,272 kb/s
2025-05-07 21:59:00,278 Mb/s,247 Mb/s,381 kb/s,144 kb/s,1.06 Mb/s,265 kb/s
2025-05-07 21:59:30,278 Mb/s,278 Mb/s,373 kb/s,121 kb/s,1.02 Mb/s,238 kb/s
2025-05-07 22:00:00,222 Mb/s,259 Mb/s,361 kb/s,91.3 kb/s,966 kb/s,212 kb/s
2025-05-07 22:00:30,209 Mb/s,353 Mb/s,139 Mb/s,70.4 kb/s,925 kb/s,188 kb/s
2025-05-07 22:01:00,209 Mb/s,382 Mb/s,244 Mb/s,59.7 kb/s,912 kb/s,176 kb/s
2025-05-07 22:01:30,209 Mb/s,528 Mb/s,323 Mb/s,53.7 kb/s,908 kb/s,171 kb/s
2025-05-07 22:02:00,209 Mb/s,487 Mb/s,358 Mb/s,50.7 kb/s,916 kb/s,186 kb/s
2025-05-07 22:02:30,209 Mb/s,417 Mb/s,266 Mb/s,49.9 kb/s,913 kb/s,194 kb/s
2025-05-07 22:03:00,233 Mb/s,348 Mb/s,309 Mb/s,50.3 kb/s,920 kb/s,204 kb/s
2025-05-07 22:03:30,209 Mb/s,278 Mb/s,190 Mb/s,52.9 kb/s,923 kb/s,210 kb/s
2025-05-07 22:04:00,139 Mb/s,209 Mb/s,160 Mb/s,60.8 kb/s,931 kb/s,201 kb/s
2025-05-07 22:04:30,69.6 Mb/s,168 Mb/s,157 Mb/s,73.7 kb/s,951 kb/s,217 kb/s
2025-05-07 22:05:00,141 kb/s,139 Mb/s,105 Mb/s,90.3 kb/s,980 kb/s,238 kb/s
2025-05-07 22:05:30,152 kb/s,139 Mb/s,175 Mb/s,105 kb/s,1.00 Mb/s,253 kb/s
2025-05-07 22:06:00,145 kb/s,139 Mb/s,190 Mb/s,99.1 kb/s,998 kb/s,248 kb/s
2025-05-07 22:06:30,135 kb/s,140 Mb/s,190 Mb/s,99.9 kb/s,998 kb/s,248 kb/s
2025-05-07 22:07:00,118 kb/s,149 Mb/s,136 Mb/s,81.8 kb/s,953 kb/s,228 kb/s
