"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 19:13:30,15.1 Gb/s,13.3 Gb/s,820 kb/s,8.03 Gb/s
2025-05-02 19:14:00,15.2 Gb/s,13.0 Gb/s,858 kb/s,7.99 Gb/s
2025-05-02 19:14:30,15.3 Gb/s,12.8 Gb/s,831 kb/s,7.56 Gb/s
2025-05-02 19:15:00,14.6 Gb/s,12.8 Gb/s,840 kb/s,7.16 Gb/s
2025-05-02 19:15:30,14.4 Gb/s,12.9 Gb/s,895 kb/s,7.09 Gb/s
2025-05-02 19:16:00,14.4 Gb/s,13.5 Gb/s,893 kb/s,7.20 Gb/s
2025-05-02 19:16:30,14.4 Gb/s,13.7 Gb/s,851 kb/s,7.47 Gb/s
2025-05-02 19:17:00,13.7 Gb/s,13.2 Gb/s,893 kb/s,7.84 Gb/s
2025-05-02 19:17:30,13.7 Gb/s,12.9 Gb/s,881 kb/s,7.73 Gb/s
2025-05-02 19:18:00,14.1 Gb/s,12.9 Gb/s,910 kb/s,7.89 Gb/s
2025-05-02 19:18:30,14.0 Gb/s,13.0 Gb/s,868 kb/s,8.25 Gb/s
2025-05-02 19:19:00,14.1 Gb/s,13.0 Gb/s,884 kb/s,8.08 Gb/s
2025-05-02 19:19:30,13.4 Gb/s,12.5 Gb/s,864 kb/s,8.14 Gb/s
2025-05-02 19:20:00,12.2 Gb/s,12.1 Gb/s,876 kb/s,8.03 Gb/s
2025-05-02 19:20:30,12.1 Gb/s,12.4 Gb/s,892 kb/s,8.05 Gb/s
2025-05-02 19:21:00,11.7 Gb/s,12.1 Gb/s,867 kb/s,7.75 Gb/s
2025-05-02 19:21:30,12.4 Gb/s,12.1 Gb/s,908 kb/s,7.58 Gb/s
2025-05-02 19:22:00,13.0 Gb/s,12.0 Gb/s,912 kb/s,7.81 Gb/s
2025-05-02 19:22:30,12.7 Gb/s,12.5 Gb/s,898 kb/s,7.73 Gb/s
2025-05-02 19:23:00,12.7 Gb/s,12.2 Gb/s,914 kb/s,7.39 Gb/s
2025-05-02 19:23:30,13.2 Gb/s,12.6 Gb/s,901 kb/s,7.11 Gb/s
2025-05-02 19:24:00,14.5 Gb/s,12.3 Gb/s,932 kb/s,6.20 Gb/s
2025-05-02 19:24:30,14.4 Gb/s,11.9 Gb/s,905 kb/s,5.60 Gb/s
2025-05-02 19:25:00,14.0 Gb/s,11.7 Gb/s,909 kb/s,5.09 Gb/s
2025-05-02 19:25:30,14.1 Gb/s,12.2 Gb/s,897 kb/s,4.85 Gb/s
2025-05-02 19:26:00,13.7 Gb/s,11.9 Gb/s,914 kb/s,4.96 Gb/s
2025-05-02 19:26:30,13.7 Gb/s,12.2 Gb/s,937 kb/s,5.20 Gb/s
2025-05-02 19:27:00,14.1 Gb/s,12.0 Gb/s,890 kb/s,5.89 Gb/s
2025-05-02 19:27:30,14.0 Gb/s,12.1 Gb/s,937 kb/s,6.13 Gb/s
2025-05-02 19:28:00,14.2 Gb/s,11.5 Gb/s,899 kb/s,7.03 Gb/s
2025-05-02 19:28:30,14.6 Gb/s,10.5 Gb/s,941 kb/s,7.56 Gb/s
2025-05-02 19:29:00,14.5 Gb/s,10.4 Gb/s,892 kb/s,7.77 Gb/s
2025-05-02 19:29:30,14.0 Gb/s,10.4 Gb/s,939 kb/s,7.38 Gb/s
2025-05-02 19:30:00,13.6 Gb/s,10.8 Gb/s,929 kb/s,7.29 Gb/s
2025-05-02 19:30:30,14.4 Gb/s,11.4 Gb/s,965 kb/s,7.20 Gb/s
2025-05-02 19:31:00,14.4 Gb/s,11.6 Gb/s,911 kb/s,7.70 Gb/s
2025-05-02 19:31:30,15.0 Gb/s,12.5 Gb/s,958 kb/s,8.19 Gb/s
2025-05-02 19:32:00,14.9 Gb/s,13.8 Gb/s,938 kb/s,8.56 Gb/s
2025-05-02 19:32:30,13.4 Gb/s,14.8 Gb/s,954 kb/s,8.53 Gb/s
2025-05-02 19:33:00,12.7 Gb/s,14.6 Gb/s,940 kb/s,8.23 Gb/s
2025-05-02 19:33:30,11.4 Gb/s,13.9 Gb/s,940 kb/s,7.82 Gb/s
2025-05-02 19:34:00,10.7 Gb/s,13.3 Gb/s,904 kb/s,7.55 Gb/s
2025-05-02 19:34:30,10.5 Gb/s,12.5 Gb/s,930 kb/s,7.70 Gb/s
2025-05-02 19:35:00,9.46 Gb/s,12.1 Gb/s,933 kb/s,7.80 Gb/s
2025-05-02 19:35:30,8.88 Gb/s,11.3 Gb/s,925 kb/s,7.91 Gb/s
2025-05-02 19:36:00,8.72 Gb/s,10.9 Gb/s,937 kb/s,7.36 Gb/s
2025-05-02 19:36:30,8.81 Gb/s,11.2 Gb/s,977 kb/s,7.14 Gb/s
2025-05-02 19:37:00,9.60 Gb/s,11.2 Gb/s,940 kb/s,6.98 Gb/s
2025-05-02 19:37:30,10.2 Gb/s,12.4 Gb/s,974 kb/s,7.02 Gb/s
2025-05-02 19:38:00,10.8 Gb/s,12.6 Gb/s,930 kb/s,6.95 Gb/s
2025-05-02 19:38:30,11.5 Gb/s,12.8 Gb/s,978 kb/s,6.68 Gb/s
2025-05-02 19:39:00,12.9 Gb/s,12.5 Gb/s,963 kb/s,7.22 Gb/s
2025-05-02 19:39:30,13.5 Gb/s,11.8 Gb/s,963 kb/s,7.44 Gb/s
2025-05-02 19:40:00,13.4 Gb/s,11.4 Gb/s,980 kb/s,7.69 Gb/s
2025-05-02 19:40:30,13.0 Gb/s,11.1 Gb/s,954 kb/s,7.48 Gb/s
2025-05-02 19:41:00,12.9 Gb/s,10.6 Gb/s,958 kb/s,6.90 Gb/s
2025-05-02 19:41:30,13.6 Gb/s,11.6 Gb/s,960 kb/s,6.25 Gb/s
2025-05-02 19:42:00,13.8 Gb/s,11.8 Gb/s,976 kb/s,5.92 Gb/s
2025-05-02 19:42:30,13.1 Gb/s,11.8 Gb/s,1.00 Mb/s,5.82 Gb/s
2025-05-02 19:43:00,13.0 Gb/s,11.3 Gb/s,961 kb/s,6.25 Gb/s
2025-05-02 19:43:30,12.4 Gb/s,11.2 Gb/s,978 kb/s,6.81 Gb/s
2025-05-02 19:44:00,12.6 Gb/s,10.4 Gb/s,949 kb/s,7.43 Gb/s
2025-05-02 19:44:30,12.8 Gb/s,10.5 Gb/s,996 kb/s,8.00 Gb/s
2025-05-02 19:45:00,12.9 Gb/s,10.3 Gb/s,997 kb/s,8.33 Gb/s
2025-05-02 19:45:30,12.9 Gb/s,10.5 Gb/s,971 kb/s,8.07 Gb/s
2025-05-02 19:46:00,12.7 Gb/s,10.2 Gb/s,970 kb/s,7.33 Gb/s
2025-05-02 19:46:30,12.4 Gb/s,10.2 Gb/s,1.01 Mb/s,7.87 Gb/s
2025-05-02 19:47:00,12.3 Gb/s,10.6 Gb/s,1.02 Mb/s,7.93 Gb/s
2025-05-02 19:47:30,11.5 Gb/s,10.9 Gb/s,995 kb/s,8.28 Gb/s
2025-05-02 19:48:00,11.5 Gb/s,11.4 Gb/s,980 kb/s,8.64 Gb/s
2025-05-02 19:48:30,10.5 Gb/s,11.5 Gb/s,974 kb/s,7.85 Gb/s
2025-05-02 19:49:00,10.1 Gb/s,12.4 Gb/s,1.02 Mb/s,7.89 Gb/s
2025-05-02 19:49:30,9.79 Gb/s,12.0 Gb/s,984 kb/s,7.51 Gb/s
2025-05-02 19:50:00,10.1 Gb/s,12.1 Gb/s,978 kb/s,7.44 Gb/s
2025-05-02 19:50:30,11.0 Gb/s,11.7 Gb/s,1.00 Mb/s,7.31 Gb/s
2025-05-02 19:51:00,12.0 Gb/s,11.4 Gb/s,1.02 Mb/s,7.01 Gb/s
2025-05-02 19:51:30,12.2 Gb/s,12.3 Gb/s,971 kb/s,6.91 Gb/s
2025-05-02 19:52:00,11.8 Gb/s,12.4 Gb/s,1.01 Mb/s,6.92 Gb/s
2025-05-02 19:52:30,12.3 Gb/s,12.3 Gb/s,1.02 Mb/s,7.66 Gb/s
2025-05-02 19:53:00,12.6 Gb/s,12.1 Gb/s,1.00 Mb/s,7.96 Gb/s
2025-05-02 19:53:30,12.0 Gb/s,12.0 Gb/s,1.03 Mb/s,7.94 Gb/s
2025-05-02 19:54:00,12.8 Gb/s,12.7 Gb/s,1.04 Mb/s,7.89 Gb/s
