"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-07 21:54:30,1.09 Gb/s,7.93 Gb/s,4.37 Gb/s,11.4 kb/s,1.52 Mb/s,111 kb/s
2025-05-07 21:55:00,2.66 Gb/s,7.54 Gb/s,4.99 Gb/s,12.4 kb/s,1.51 Mb/s,108 kb/s
2025-05-07 21:55:30,4.46 Gb/s,8.30 Gb/s,5.62 Gb/s,11.0 kb/s,1.48 Mb/s,114 kb/s
2025-05-07 21:56:00,5.96 Gb/s,8.53 Gb/s,6.90 Gb/s,11.3 kb/s,1.47 Mb/s,123 kb/s
2025-05-07 21:56:30,6.45 Gb/s,7.84 Gb/s,7.42 Gb/s,12.3 kb/s,1.45 Mb/s,123 kb/s
2025-05-07 21:57:00,5.48 Gb/s,7.18 Gb/s,8.55 Gb/s,10.8 kb/s,1.45 Mb/s,123 kb/s
2025-05-07 21:57:30,4.07 Gb/s,5.76 Gb/s,8.95 Gb/s,11.3 kb/s,1.47 Mb/s,124 kb/s
2025-05-07 21:58:00,3.45 Gb/s,5.42 Gb/s,8.35 Gb/s,12.5 kb/s,1.49 Mb/s,121 kb/s
2025-05-07 21:58:30,3.51 Gb/s,5.45 Gb/s,7.73 Gb/s,11.3 kb/s,1.49 Mb/s,121 kb/s
2025-05-07 21:59:00,4.17 Gb/s,5.35 Gb/s,7.46 Gb/s,11.6 kb/s,1.47 Mb/s,124 kb/s
2025-05-07 21:59:30,4.21 Gb/s,5.78 Gb/s,7.51 Gb/s,12.9 kb/s,1.46 Mb/s,124 kb/s
2025-05-07 22:00:00,3.53 Gb/s,6.53 Gb/s,8.33 Gb/s,11.6 kb/s,1.43 Mb/s,124 kb/s
2025-05-07 22:00:30,2.24 Gb/s,6.99 Gb/s,7.70 Gb/s,11.6 kb/s,1.41 Mb/s,124 kb/s
2025-05-07 22:01:00,1.96 Gb/s,7.25 Gb/s,7.68 Gb/s,12.9 kb/s,1.41 Mb/s,121 kb/s
