"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.3.2:9100","192.168.3.3:9100"
2025-05-02 19:18:00,140 Mb/s,515 Mb/s,358 kb/s,224 Mb/s
2025-05-02 19:18:30,140 Mb/s,419 Mb/s,333 kb/s,253 Mb/s
2025-05-02 19:19:00,178 Mb/s,418 Mb/s,393 kb/s,257 Mb/s
2025-05-02 19:19:30,140 Mb/s,501 Mb/s,386 kb/s,232 Mb/s
2025-05-02 19:20:00,182 Mb/s,418 Mb/s,424 kb/s,263 Mb/s
2025-05-02 19:20:30,140 Mb/s,531 Mb/s,378 kb/s,241 Mb/s
2025-05-02 19:21:00,140 Mb/s,432 Mb/s,397 kb/s,272 Mb/s
2025-05-02 19:21:30,210 Mb/s,421 Mb/s,376 kb/s,258 Mb/s
2025-05-02 19:22:00,140 Mb/s,503 Mb/s,386 kb/s,236 Mb/s
2025-05-02 19:22:30,140 Mb/s,418 Mb/s,338 kb/s,265 Mb/s
2025-05-02 19:23:00,140 Mb/s,492 Mb/s,384 kb/s,230 Mb/s
2025-05-02 19:23:30,140 Mb/s,435 Mb/s,336 kb/s,258 Mb/s
2025-05-02 19:24:00,209 Mb/s,432 Mb/s,427 kb/s,243 Mb/s
2025-05-02 19:24:30,140 Mb/s,475 Mb/s,411 kb/s,212 Mb/s
2025-05-02 19:25:00,142 Mb/s,418 Mb/s,464 kb/s,197 Mb/s
2025-05-02 19:25:30,167 Mb/s,396 Mb/s,409 kb/s,202 Mb/s
2025-05-02 19:26:00,140 Mb/s,418 Mb/s,431 kb/s,202 Mb/s
2025-05-02 19:26:30,203 Mb/s,344 Mb/s,370 kb/s,224 Mb/s
2025-05-02 19:27:00,140 Mb/s,374 Mb/s,410 kb/s,277 Mb/s
2025-05-02 19:27:30,106 Mb/s,395 Mb/s,386 kb/s,255 Mb/s
2025-05-02 19:28:00,58.2 Mb/s,324 Mb/s,426 kb/s,282 Mb/s
2025-05-02 19:28:30,1.17 Mb/s,279 Mb/s,398 kb/s,287 Mb/s
2025-05-02 19:29:00,1.13 Mb/s,354 Mb/s,397 kb/s,240 Mb/s
2025-05-02 19:29:30,1.14 Mb/s,279 Mb/s,360 kb/s,258 Mb/s
2025-05-02 19:30:00,32.7 Mb/s,322 Mb/s,375 kb/s,235 Mb/s
2025-05-02 19:30:30,35.9 Mb/s,325 Mb/s,359 kb/s,266 Mb/s
2025-05-02 19:31:00,106 Mb/s,348 Mb/s,378 kb/s,281 Mb/s
2025-05-02 19:31:30,106 Mb/s,509 Mb/s,336 kb/s,252 Mb/s
2025-05-02 19:32:00,141 Mb/s,422 Mb/s,370 kb/s,293 Mb/s
2025-05-02 19:32:30,178 Mb/s,473 Mb/s,330 kb/s,241 Mb/s
2025-05-02 19:33:00,140 Mb/s,445 Mb/s,383 kb/s,242 Mb/s
2025-05-02 19:33:30,170 Mb/s,314 Mb/s,365 kb/s,231 Mb/s
2025-05-02 19:34:00,140 Mb/s,349 Mb/s,442 kb/s,137 Mb/s
2025-05-02 19:34:30,140 Mb/s,187 Mb/s,444 kb/s,236 Mb/s
2025-05-02 19:35:00,204 Mb/s,314 Mb/s,482 kb/s,132 Mb/s
2025-05-02 19:35:30,140 Mb/s,320 Mb/s,422 kb/s,235 Mb/s
2025-05-02 19:36:00,169 Mb/s,417 Mb/s,424 kb/s,192 Mb/s
2025-05-02 19:36:30,140 Mb/s,350 Mb/s,373 kb/s,222 Mb/s
2025-05-02 19:37:00,140 Mb/s,440 Mb/s,401 kb/s,185 Mb/s
2025-05-02 19:37:30,210 Mb/s,332 Mb/s,385 kb/s,227 Mb/s
2025-05-02 19:38:00,140 Mb/s,478 Mb/s,418 kb/s,188 Mb/s
2025-05-02 19:38:30,140 Mb/s,349 Mb/s,383 kb/s,222 Mb/s
2025-05-02 19:39:00,167 Mb/s,418 Mb/s,397 kb/s,192 Mb/s
