"Time","192.168.2.2:9100","192.168.2.3:9100","192.168.2.4:9100","192.168.3.2:9100","192.168.3.3:9100","192.168.3.4:9100"
2025-05-08 00:47:00,2.66 Gb/s,2.89 Gb/s,1.65 Gb/s,1.81 Gb/s,2.83 Gb/s,3.37 Gb/s
2025-05-08 00:47:30,2.38 Gb/s,3.22 Gb/s,1.61 Gb/s,1.79 Gb/s,2.59 Gb/s,2.98 Gb/s
2025-05-08 00:48:00,2.59 Gb/s,3.45 Gb/s,1.43 Gb/s,1.86 Gb/s,2.29 Gb/s,2.98 Gb/s
2025-05-08 00:48:30,2.99 Gb/s,3.55 Gb/s,1.71 Gb/s,2.20 Gb/s,2.44 Gb/s,2.94 Gb/s
2025-05-08 00:49:00,2.90 Gb/s,2.92 Gb/s,2.13 Gb/s,2.74 Gb/s,2.40 Gb/s,2.66 Gb/s
2025-05-08 00:49:30,3.00 Gb/s,2.48 Gb/s,2.53 Gb/s,3.02 Gb/s,2.46 Gb/s,2.92 Gb/s
2025-05-08 00:50:00,2.57 Gb/s,1.88 Gb/s,2.56 Gb/s,3.46 Gb/s,2.59 Gb/s,2.64 Gb/s
2025-05-08 00:50:30,2.14 Gb/s,1.90 Gb/s,2.36 Gb/s,3.41 Gb/s,2.57 Gb/s,2.51 Gb/s
2025-05-08 00:51:00,1.96 Gb/s,1.74 Gb/s,1.81 Gb/s,2.88 Gb/s,2.46 Gb/s,2.42 Gb/s
2025-05-08 00:51:30,2.01 Gb/s,2.13 Gb/s,1.68 Gb/s,3.08 Gb/s,2.53 Gb/s,2.26 Gb/s
2025-05-08 00:52:00,2.15 Gb/s,2.34 Gb/s,1.91 Gb/s,2.93 Gb/s,2.79 Gb/s,2.66 Gb/s
2025-05-08 00:52:30,2.17 Gb/s,2.66 Gb/s,2.08 Gb/s,3.22 Gb/s,3.29 Gb/s,2.96 Gb/s
2025-05-08 00:53:00,2.00 Gb/s,2.59 Gb/s,2.13 Gb/s,3.59 Gb/s,3.43 Gb/s,3.09 Gb/s
2025-05-08 00:53:30,1.91 Gb/s,2.33 Gb/s,1.94 Gb/s,3.30 Gb/s,3.10 Gb/s,3.06 Gb/s
2025-05-08 00:54:00,2.10 Gb/s,2.11 Gb/s,2.21 Gb/s,2.91 Gb/s,3.05 Gb/s,2.77 Gb/s
2025-05-08 00:54:30,2.46 Gb/s,2.05 Gb/s,2.40 Gb/s,2.63 Gb/s,2.75 Gb/s,2.53 Gb/s
